species,decimalLatitude,decimalLongitude
Hyacinthoides non-scripta,51.320461,0.730869
Hyacinthoides non-scripta,52.347178,-1.451072
Hyacinthoides non-scripta,51.634755,0.266147
Hyacinthoides non-scripta,55.952597,-3.003785
Hyacinthoides non-scripta,53.759792,-2.033996
Hyacinthoides non-scripta,51.837933,-2.637959
Hyacinthoides non-scripta,53.64367,-2.334033
Hyacinthoides non-scripta,51.016762,0.283376
Hyacinthoides non-scripta,51.017673,-4.501829
Hyacinthoides non-scripta,52.551427,-2.134798
Hyacinthoides non-scripta,51.870378,0.973855
Hyacinthoides non-scripta,52.099328,-2.177955
Hyacinthoides non-scripta,54.237001,-2.860005
Hyacinthoides non-scripta,56.061314,-3.251194
Hyacinthoides hispanica,52.724118,-2.841021
Hyacinthoides non-scripta,51.444792,-0.382089
Hyacinthoides non-scripta,50.923485,-0.262112
Hyacinthoides non-scripta,51.169475,-0.387947
Hyacinthoides non-scripta,50.596018,-4.810533
Hyacinthoides non-scripta,53.252794,-1.745332
Hyacinthoides non-scripta,52.061489,0.236622
Hyacinthoides non-scripta,52.162829,-0.188423
Hyacinthoides non-scripta,53.973421,-1.138771
Hyacinthoides non-scripta,54.888462,-4.883694
Hyacinthoides non-scripta,51.156242,-4.168688
Hyacinthoides non-scripta,53.954983,-1.147002
Hyacinthoides non-scripta,51.330272,0.085558
Hyacinthoides non-scripta,51.838361,-2.448047
Hyacinthoides non-scripta,54.885774,-6.485446
Hyacinthoides non-scripta,51.406468,-2.24048
Hyacinthoides non-scripta,54.885548,-3.667149
Hyacinthoides non-scripta,53.671556,-1.491869
Hyacinthoides non-scripta,51.048972,-0.326403
Hyacinthoides hispanica,51.749308,-0.299082
Hyacinthoides non-scripta,51.283492,1.132683
Hyacinthoides hispanica,53.299005,-6.296613
Hyacinthoides non-scripta,51.72325,0.588028
Hyacinthoides non-scripta,50.897422,-0.572478
Hyacinthoides non-scripta,54.668557,-7.316074
Hyacinthoides non-scripta,54.237971,-2.560116
Hyacinthoides non-scripta,52.280128,-1.489739
Hyacinthoides non-scripta,55.943897,-3.164511
Hyacinthoides non-scripta,51.932258,0.372197
Hyacinthoides non-scripta,53.018504,-1.20839
Hyacinthoides non-scripta,50.90112,-0.271248
Hyacinthoides non-scripta,51.147464,0.918737
Hyacinthoides hispanica,51.559092,-0.185736
Hyacinthoides non-scripta,51.357853,-2.359917
Hyacinthoides non-scripta,51.330188,0.091778
Hyacinthoides hispanica,54.034378,-2.82653
