species,year,ssp,suitability,range,centroid_x,centroid_y,runtime,suitability_change,range_change,distance_change
Calopteryx maculata,2100,ssp1,0.0896029902805333,6249635,-87.1735189654555,39.0014503413506,1049.12131905556,1.07982671811217,1.0498753515188,18.4499902374706
Calopteryx maculata,2100,ssp2,0.0915032486604844,6467069,-85.981231813764,39.9602316048197,1068.66481399536,1.10272717895129,1.08640206022773,144.363542094614
Calopteryx maculata,2100,ssp5,0.0911884681782539,6217293,-86.7372676672701,39.6301161828017,1053.33793020248,1.0989336852968,1.04444222324509,81.7254891468817
Calopteryx aequabilis,2050,ssp1,0.0938992935541499,3692499,-89.0178613719188,44.308214429273,333.235243082047,1.07596274899276,1.02845041377559,35.0621489190252
Calopteryx aequabilis,2050,ssp2,0.102026272244605,4016083,-89.012560345692,45.2633596759574,331.689122915268,1.16908726571497,1.11857639585199,109.587576844517
Calopteryx aequabilis,2050,ssp5,0.112910375770805,4403432,-88.980617365391,46.5152733696192,328.553111791611,1.29380481690313,1.22646247498852,245.793312844478
Calopteryx aequabilis,2075,ssp1,0.106739272105139,4185741,-89.8428814528499,45.3581284674853,327.07594203949,1.22309206270546,1.16583025842591,118.352914190348
Calopteryx aequabilis,2075,ssp2,0.117969679711161,4625957,-89.3312474889443,46.9992856610854,333.125638961792,1.35177780444767,1.28844107764364,296.923557184757
Calopteryx aequabilis,2075,ssp5,0.14601480882266,5813549,-93.2944313525988,49.7266608098833,333.28357386589,1.67313820102257,1.61921421632197,666.985945642175
Calopteryx aequabilis,2100,ssp1,0.11247541844857,4429570,-90.6073854348267,45.5718422590109,328.470197916031,1.28882077646563,1.23374254112132,165.282771265902
Calopteryx aequabilis,2100,ssp2,0.134485344941979,5570412,-92.1522204534843,48.5174010431414,328.400779008865,1.54102566660487,1.55149467238867,509.509147019419
Calopteryx aequabilis,2100,ssp5,0.182657274727698,8140656,-99.0059827534091,53.4652451833475,333.43820810318,2.09301280127526,2.26736988462413,1231.55405882517
Calopteryx dimidiata,2050,ssp1,0.0183965119743746,2273597,-84.7570255833971,36.3213370217015,827.425059080124,1.10546736048303,1.07297069242001,36.9120348794168
Calopteryx dimidiata,2050,ssp2,0.0168044872128246,2123727,-84.6810927858851,36.2768518315757,823.894546985626,1.00980077904488,1.00224306669171,28.7544598100485
Calopteryx dimidiata,2050,ssp5,0.0181629771304348,2382367,-84.066727989442,36.8236103407376,827.273968935013,1.0914339856851,1.12430213867655,75.7726122092585
Calopteryx dimidiata,2075,ssp1,0.017690356301516,2280147,-84.5434778948228,36.8638879027896,816.381954908371,1.06303366170076,1.07606181104629,76.2710667463215
Calopteryx dimidiata,2075,ssp2,0.0158108121541478,2079652,-84.0837457490732,36.8542261800778,816.121954917908,0.950089712848024,0.981442905859156,78.4077224397174
Calopteryx dimidiata,2075,ssp5,0.0186662730608621,2387774,-83.6255600141149,37.3243299081132,813.916604042053,1.1216776114619,1.12685384530438,142.836493198072
Calopteryx dimidiata,2100,ssp1,0.0163841505285355,2099069,-85.5127645466449,36.8330609031522,815.213958024979,0.984542268869559,0.990606302861668,124.088972390608
Calopteryx dimidiata,2100,ssp2,0.0137833596427817,1809265,-84.4722351316696,37.0991589268812,806.439692020416,0.828257781916415,0.853840113186854,101.298959737228
Calopteryx dimidiata,2100,ssp5,0.0189383988963458,2341815,-83.1887129652357,37.5752090537045,814.934562206268,1.13802996290169,1.10516457493108,186.898494477912
Calopteryx angustipennis,2050,ssp1,0.00918997590189473,476813,-83.6503353262777,37.2482149960647,452.45458984375,0.970210192055461,0.995265936240427,53.6384581380558
Calopteryx angustipennis,2050,ssp2,0.00953171472238177,467071,-83.0964723461927,37.3370995199486,454.837542057037,1.00628846801581,0.974931170303143,37.9227646215822
Calopteryx angustipennis,2050,ssp5,0.00965218468145829,458564,-81.6864410718388,38.2824697912785,452.955022096634,1.01900680192444,0.957174256545344,191.581453454002
Calopteryx angustipennis,2075,ssp1,0.00866861196177248,393827,-82.843427250758,37.5039432601768,456.501411914825,0.915168414593073,0.822046793757214,61.9410908663402
Calopteryx angustipennis,2075,ssp2,0.00826665716586682,381589,-81.6752181122743,38.5165345221937,455.97615814209,0.87273297799385,0.79650205288876,212.120419549848
Calopteryx angustipennis,2075,ssp5,0.00847707198362596,360884,-80.1366416054882,40.3235262517504,454.120336055756,0.894947029796458,0.753283891450506,452.130386970156
Calopteryx angustipennis,2100,ssp1,0.00905196128572579,437851,-84.3951686493294,37.3873731114718,456.339779138565,0.955639622046445,0.91393939646949,120.000285829182
